Well,GeoMean BV605-A - PD-1 of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A - Tim3 of Amet+GFP+
B02,2521.1139735483,1197.0544873694,46.1437046802901,163.800760127893
B03,3539.25954252088,1439.74426774012,43.4927697441602,137.051467344655
B04,3293.03137409994,1256.24140152197,43.2109308283518,138.173995716114
B05,3534.50622524054,1225.33457416902,33.1582895723931,82.8455005340832
B06,4036.95138861707,1564.54658602134,46.6509988249119,146.250884773781
B07,1997.91616448319,741.43596673753,35.048231511254,103.771177539271
B08,3486.08061884483,1315.76007079945,37.1085099652009,110.721306735313
B09,3820.33983949376,776.247584244534,39.175704989154,115.163753331953
B10,3246.53857509514,1396.59296982654,49.8743086978381,195.588613732821
B11,2881.40226727338,1144.30784833056,46.7462039045553,156.714317199029
C02,3767.37733046563,1475.71023731841,50.3968253968254,189.156327250253
C03,3150.89186875988,1265.19373369462,40.0325467860049,121.56318824556
C04,2411.36735931156,1030.2556062137,40.2362495385751,123.273959196654
C05,3690.99650278527,1025.28553680681,46.6190214403518,163.854687042574
C06,3005.56351756746,1155.48900155823,38.6312033733377,111.789535302758
C07,3734.23961054938,1188.76846679262,40.4833836858006,127.989906335022
C08,3166.428035062,1458.95944037765,44.986301369863,156.314893316659
C09,3729.33850473081,1353.59154167039,50.0200400801603,195.205454133991
C10,4438.74565325329,2156.97725756791,46.1650627004958,172.141727278504
C11,4324.24973177933,2042.01468106128,56.7567567567568,263.3059091617
D02,2682.59521047267,1845.80940148152,61.2068965517241,355.169611271612
D03,3913.60462001158,2628.73302102505,54.8423423423423,233.439479084315
D04,3284.63142333728,1702.28463342842,47.2420506164828,178.733074434991
D05,2514.38764643234,1264.3512462271,38.8293802601377,115.782883630815
D06,3236.28646198667,1595.98615527867,49.1127647395535,185.971385101452
D07,3897.37010540066,1872.0371679259,43.3879781420765,147.293512246358
D08,4246.08720486322,1751.47039164269,45.578231292517,149.322545791173
D09,4574.3160719771,2050.71808859322,51.6824849007765,200.897598212981
D10,5281.65065745427,2039.33790165498,52.9791816223977,232.177144007227
D11,4536.08058072367,1912.69460100688,61.25,335.586641249705
E02,3319.47077328954,1073.35655252829,45.7142857142857,157.754580948796
E03,2915.47584820336,1602.82277985917,56.5217391304348,468.792941213176
E04,3979.81679256575,1323.75754332113,42.358803986711,129.393120856714
E05,3004.07612066189,1294.7041343179,39.0614672835426,121.416182311582
E06,3676.62120563814,1780.4050807369,46.2745098039216,140.799424711268
E07,3971.31782729417,1733.59742757384,39.5153774464119,124.211083910711
E08,3661.54800324678,1995.94012299954,49.490662139219,190.717118797756
E09,4623.3139636913,601.77630805783,39.4736842105263,93.9994954302839
E10,5586.35916890313,2557.81302043829,49.9165275459099,198.188349542162
E11,6845.42365629708,1936.40474659057,57.0863024544735,266.971849642697
F02,2504.32807554191,1164.36912726907,43.4435575826682,148.033401916518
F03,3493.80079262111,1618.74002511046,46.4285714285714,164.953497699052
F04,5787.03152898028,490.230584046162,54.5454545454545,200.74943334594
F05,3908.00705910762,1459.17124464432,48.7012987012987,199.586222602837
F06,3331.22606156169,2031.42441848822,48.440065681445,189.272204708393
F07,3203.60967215871,1319.05502379793,52.2388059701493,196.870405657397
F08,5237.29217674969,1885.98215650756,42.7571728481456,132.153069379065
F09,4925.42041229269,2114.63950737573,54.5454545454545,244.628853429624
F10,4953.45807511743,2526.19272861431,61.2791702679343,304.605507103557
F11,3774.62381501427,1486.89473765073,52.1028037383178,251.384409758674
G02,3076.2590314909,1365.4264965384,41.5366614664587,140.303256696137
G03,3010.04124823035,1184.22703776677,53.4685598377282,236.704022314235
G04,3374.61104936815,1398.3258715497,50.4524886877828,194.338358773783
G05,3480.56420277327,1386.63173437018,48.5762144053601,167.621710771411
G06,3822.02306772173,1643.39898873653,46.0496613995485,162.441914022577
G07,4403.43141630664,1721.86610351803,53.0477759472817,223.834096531856
G08,3182.01000172772,1862.72855462449,39.1378574477166,122.443021562546
G09,3859.28849531951,2320.72808336795,56.9326542161856,279.961251710874
G10,4695.56678859328,2198.94496040097,54.2045454545455,234.66410346308
G11,4855.04319982373,1776.89298426117,42.7167630057803,139.768870358511
